이름,주의사항,성분
프로바이오틱스100억,"① 과량 섭취시 부작용이 있을 수 있으며, 특정 원료에 알레르기가 있거나 질병 치료나 약물투여 중인 분들은 섭취 전 전문가와 상의하십시오.
② 제품을 개봉할 때 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의 하십시오.
③ 유통기한이 경과된 제품은 섭취하지 마십시오.","Lactiplantibacillus plantarum(고시형), Lactococcus lactis(고시형), Lactobacillus acidophilus(고시형), 산화아연, Streptococcus thermophilus(고시형), Bifidobacterium longum(고시형), Lacticaseibacillus rhamnosus(고시형), Lactobacillus helveticus(고시형), Lactobacillus delbrueckii, Limosilactobacillus reuteri(고시형), Limosilactobacillus fermentum(고시형), Bifidobacterium bifidum(고시형), Lactiplantibacillus plantarum(고시형), Bifidobacterium breve(고시형), Bifidobacterium infantis, Lactobacillus gasseri(고시형), Lacticaseibacillus casei(고시형), Lacticaseibacillus paracasei(고시형), Bifidobacterium lactis, Ligilactobacillus salivarius(고시형), 히드록시프로필메틸셀룰로스, 아라비아검, 프락토올리고당, 결정셀룰로스, 치커리식이섬유, 난소화성말토덱스트린(고시형), 건조효모, 이소말트, 미네랄혼합제제, 갈락토올리고당, 비타민혼합분말, 스테아린산마그네슘, 이산화규소, Bacillus coagulans, 후추추출물"
맘앙떼 비타D 1000 IU,"① 어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.
② 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.
-고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담하십시오.
-이상사례 발생 시 섭취를 중단하고 전문가와 상담하십시오.","비타민 D3유지(Oil), 젤라틴, 정제수, 글리세린, 포도씨유 , d-α-토코페롤"
대한민국 진호간 ND-1 (수출용),"-임산부, 수유부 섭취에 주의 하십시오.
-특이체질 등 알러지 체질인 경우에는 성분을 확인하신 후 섭취하십시오.
-섭취 시 목에 걸릴 수 있으므로 반드시 물과 함께 섭취하십시오.
-섭취 시 소화불량, 위장장애 증상이 있을 경우 섭취를 중단하십시오.
-섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.
-개인의 신체 상태에 따라 이상이 발생될 경우 섭취를 중단 하십시오.","비타민 C, 헛개나무과병추출분말, 치커리(잎(엽))추출물(추출액)분말(분말 추출물), 키토올리고당분말(가루, 과립), 키토산분말(가루, 과립), 이산화규소, 스테아린산마그네슘, 밀크씨슬(씨)추출물(추출액)분말(분말 추출물), 히드록시프로필메틸셀룰로오스"
Mr-10 미스터플러스,"① 임산부, 수유부는 섭취에 주의하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","니코틴산아미드, 산화아연, 비타민 B6 염산염, 비타민 D3 혼합제제분말(가루, 과립)(비타민D3 0.25%, 아라비아검 38%, 수크로오스 38%, 옥수수전분 15.55%, 정제가공유지 7.5%, 이산화규소 0.5%, DL-알파토코페롤 0.2%), MR-10 민들레등복합추출물(Luteolin 0.06mg/g, Isoorientin 0.18mg/g), L-아르기닌, 구연산, 과라나추출물(추출액)분말(분말 추출물)(과라나추출물분말 80%, 말토덱스트린 20%), 타우린, 밀리타리스 동충하초(전체)분말(가루, 과립)(밀리타리스동충하초추출물 25%, 덱스트린 75%), 로얄젤리분말(가루, 과립)(동결건조), 구연산삼나트륨, 카라기난 혼합(제제)(카라기난 30%, 젤란검 25%, 잔탄검 10%, 말토덱스트린 35%), 레몬향(레몬오일 10%  주정 62%, 정제수 28%), 효소처리스테비아, 진생베리농축액(농축물)(인삼열매), 비타민 B1질산염, 정제수, 블루베리농축액(농축물)(68Brix), 시클로덱스트린시럽, 포도(씨,열매)농축액(농축물)(65Brix), 결정과당, 시클로덱스트린(베타), 블루베리향(혼합제제)(블루베리향Ⅰ{에틸말톨 0.41%, 에틸부티레이트 3.24%, 에틸아세토아세테이트 0.95%, 프로피오닉에시드 3.24%, 아세틱에시드 4.86%, 헥사노익엑시드 0.95%, 감마-운데카락톤 0.41, 연잎혼합추출물(연잎추출액 9.0%, 대나무추출액 8.0%, 매실추출액 8.0%, 비타민C 0.4%, 구연산 1.0%, 젖산 1.0%, 글리세린 64.6%, 정제수 8%), 버드나무(가지껍질)추출물(추출액)분말(분말 추출물), 흑마늘농축액(농축물)(마늘 90%, 물엿 10%), 자일리톨, 사과농축액(농축물)(72Brix)"
MR-10엠알텐올포맨정,"① 임산부, 수유부 및 어린이는 섭취에 주의하십시오.
② 알레르기 및 특이체질, 질병치료 중인 사람은 섭취에 주의하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","피로인산제이철 혼합제제분말(가루, 과립)(피로인산제이철 26.6%, 덱스트린 54.7%, 글리세린지방산에스테르 5.3%, 정제소금 7.3%, 효소분해레시틴 1.3%, 정제수 4.8%), 비타민 C(L-Ascorbic acid), 니코틴산아미드, 산화아연, 비타민 D3 혼합제제분말(가루, 과립)(비타민D3 0.25%, 아라비아검 38%, 수크로오스 38%, 옥수수전분 15.55%, 정제가공유지 7.5%, 이산화규소 0.5%, DL-알파토코페롤 0.2%), 비타민 B6 염산염, 비타민 B2(Riboflavin), MR-10 민들레등복합추출물(Luteolin 0.06mg/g, Isoorientin 0.18mg/g), 토마토추출물(추출액)분말(분말 추출물)(토마토추출농축액(고형분 25%) 80%, 덱스트린 14%, 유당 6%), 피브로인추출물BF-7, 정향추출물(추출액)분말(분말 추출물)(정향추출고형분 20%, 덱스트린 80%), 과라나추출물(추출액)분말(분말 추출물)(과라나추출물분말 80%, 덱스트린 20%), 로얄젤리분말(가루, 과립)(동결건조), 홍삼농축액(농축물)분말, 카카오색소(카카오색소 67%, 덱스트린 33%), 스테아린산마그네슘, 타우린, 아사이(아싸이)베리추출물(추출액)분말(분말 추출물), 포도(과피)추출물(추출액)분말(분말 추출물), 버드나무(가지껍질)추출물(추출액)분말(분말 추출물), 결정셀룰로오스, 유당혼합(유당 95%, 덱스트린 5%), 산화마그네슘, 히드록시프로필메틸셀룰로오스, 카르복시메틸스타치나트륨, 시클로덱스트린(베타), L-아르기닌"
19종혼합유산균-2000,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의","Lactobacillus plantarum(5.0x10^11 cfu/g 이상 원료 사용), Lactobacillus paracasei(5.0x10^11 cfu/g 이상 원료 사용), Lactobacillus rhamnosus(5.0x10^11 cfu/g 이상 원료 사용), Lactobacillus casei(4.0x10^11 cfu/g 이상 원료 사용), Lactobacillus acidophilus(2.0x10^11 cfu/g 이상 원료 사용), Lactobacillus reuteri(2.0x10^11 cfu/g 이상 원료 사용), Lactobacillus.delbrueckii spp. bulgaricus(2.0x10^11 cfu/g 이상 원료 사용), Lactobacillus fermentum(2.0x10^11 cfu/g 이상 원료 사용), Lactobacillus gasseri(2.0x10^11 cfu/g 이상 원료 사용), Lactobacillus salivarius(2.0x10^11 cfu/g 이상 원료 사용), Lactobacillus helveticus(2.0x10^11 cfu/g 이상 원료 사용), Lactococcus lactis(2.0x10^11 cfu/g 이상 원료 사용), Streptococcus thermophilus(2.0x10^11 cfu/g 이상 원료 사용), Enterococcus faecium(5.0x10^11 cfu/g 이상 원료 사용), Enterococcus faecalis(5.0x10^11 cfu/g 이상 원료 사용), Bifidobacterium longum(5.0x10^11 cfu/g 이상 원료 사용), Bifidobacterium bifidum(2.0x10^11 cfu/g 이상 원료 사용), Bifidobacterium breve(2.0x10^11 cfu/g 이상 원료 사용), Bifidobacterium animalis ssp. lactis(2.0x10^11 cfu/g 이상 원료 사용), 식물성크림, 결정(분말)포도당, 말토덱스트린"
19종혼합유산균-1000,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의","Lactobacillus helveticus(2.0 x 10^11 cfu/g 이상 원료 사용), Lactococcus lactis(2.0 x 10^11 cfu/g 이상 원료 사용), Streptococcus thermophilus(2.0 x 10^11 cfu/g 이상 원료 사용), Enterococcus faecium(5.0 x 10^11 cfu/g 이상 원료 사용), Enterococcus faecalis(5.0 x 10^11 cfu/g 이상 원료 사용), Bifidobacterium longum(4.0 x 10^11 cfu/g 이상 원료 사용), Bifidobacterium bifidum(2.0 x 10^11 cfu/g 이상 원료 사용), Bifidobacterium breve(1.0 x 10^11 cfu/g 이상 원료 사용), Bifidobacterium animalis ssp. lactis(1.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus fermentum(2.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus plantarum(4.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus paracasei(4.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus rhamnosus(4.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus casei(4.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus acidophilus(2.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus reuteri(2.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus.delbrueckii spp. bulgaricus(2.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus gasseri(2.0 x 10^11 cfu/g 이상 원료 사용), Lactobacillus salivarius(2.0 x 10^11 cfu/g 이상 원료 사용), 결정(분말)포도당, 말토덱스트린, 식물성크림"
코엔자임Q10,"개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오. 
특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.","코엔자임 Q10분말(가루, 과립), 비타민 B6 염산염분말(가루, 과립), 비타민 B2분말(가루, 과립), 엽산분말(가루, 과립), 히드록시프로필메틸셀룰로오스분말(가루, 과립), 카라기난분말(가루, 과립), 자당지방산에스테르, 펙틴분말(가루, 과립), 염화마그네슘분말(가루, 과립), 피로인산칼륨분말(가루, 과립), 빙초산, 정제수, 셀레늄함유건조효모분말(가루, 과립), 비타민 B1염산염분말(가루, 과립), 비타민 D3 혼합제제분말(가루, 과립), 비타민 B12분말(가루, 과립), 결정셀룰로오스분말(가루, 과립), 스테아린산마그네슘분말(가루, 과립), 이산화규소분말(가루, 과립), 타우린분말(가루, 과립), L-카르니틴분말(가루, 과립), 산화마그네슘분말(가루, 과립), L-아르기닌분말(가루, 과립), 헤스페리딘분말(가루, 과립), 포도종자추출물분말(가루, 과립)"
Ginkgo biloba Ext. soft capsule 120mg(수출용),알러지 및 특이체질이신분은 제품성분을 확인하신 후 섭취하십시오.,"DL-α-토코페릴아세테이트, 젤라틴, 글리세린, D-소르비톨액, 에틸바닐린, 이산화티타늄, 식용색소황색제4호, 식용색소황색제5호, 식용색소청색제1호, 은행나무분말(가루, 과립), 대두유, 레시틴, 팜유, 밀납"
FISH OIL 1000mg,,"정제어유(정제어유 99.9%, 비타민E 0.1%), 글리세린, 젤라틴"
17종알파혼합유산균-10,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의","Lactobacillus plantarum(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus paracasei(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus rhamnosus(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus casei(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus acidophilus(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus reuteri(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus delbrueckii ssp. bulgaricus(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus fermentum(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus gasseri(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus salivarius(1.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus helveticus(1.0 X 10^10cfu/g 이상 원료 사용), Lactococcus lactis(1.0 X 10^10cfu/g 이상 원료 사용), Streptococcus thermophilus(1.0 X 10^10cfu/g 이상 원료 사용), Bifidobacterium longum(1.0 X 10^10cfu/g 이상 원료 사용), Bifidobacterium bifidum(1.0 X 10^10cfu/g 이상 원료 사용), Bifidobacterium breve(1.0 X 10^10cfu/g 이상 원료 사용), Bifidobacterium animalis ssp. lactis(1.0 X 10^10cfu/g 이상 원료 사용), 결정(분말)포도당, 말토덱스트린, 식물성크림"
홍삼정골드익스트림13,"1. 알러지가 있으신 분은 성분을 확인하시고 섭취하시기 바랍니다.
2. 물기가 있는 도구를 사용 시에는 변질의 우려가 있으니 주의 하시기 바랍니다.
3. 의약품(당뇨치료제, 혈액항응고제)복용시 섭취에 주의하십시오.",홍삼농축액(농축물)
바나솔Q10,"①알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
②제품을 개봉할 때 혹 포장재에 의해 상처를 입을 수 있으니 주의 하십시오.","홍국 분말(가루, 과립), 바나바잎추출물분말(가루, 과립), 은행잎추출물분말(가루, 과립), 코엔자임 Q10분말(가루, 과립), 비타민 D3 혼합제제분말(가루, 과립), 산화아연분말(가루, 과립), 나이아신분말(가루, 과립), 해조칼슘분말(가루, 과립), 셀레늄함유건조효모분말(가루, 과립), 엽산분말(가루, 과립), 영지버섯자실체추출물분말, 정제어유분말(가루, 과립), 여주효소분말, 아마씨효소분말, 귀리분말, 비타민C(고시형), 은행잎분말, 히드록시프로필메틸셀룰로오스, 스테아린산마그네슘분말(가루, 과립), 이산화규소분말(가루, 과립), 돼지감자효소분말"
미스터10,"null① 임산부, 수유부 및 어린이는 섭취에 주의하십시오.
② 특정 성분에 알레르기가 있으신 분은 원료명 확인 후 섭취하십시오.
③ 개봉 또는 섭취 시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","건조효모, Lactobacillus bulgaricus(II)(락토바실러스불가리쿠스), Lactobacillus bulgaricus(I)(락토바실러스불가리쿠스), MR-10 민들레등복합추출물(Luteolin 0.06mg/g, Isoorientin 0.18mg/g), 스테아린산마그네슘, 히드록시프로필메틸셀룰로오스, 유당혼합(유당 95%, 덱스트린 5%), 결정셀룰로오스"
홍삼농축액분말31,건강기능식품의 원료 식품으로 판매,홍삼농축액(농축물)
톡톡1,"① 알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.
② 제품을 개봉할 때 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의 하십시오.","녹차추출물분말(가루, 과립), 식물혼합농축액(발효)농축액(농축물)(산야초발효액[황백당33%, 민들레(어린잎, 뿌리)4%, 찔레나무(순)4%, 칡(뿌리)4%, 솔잎4%, 뽕잎4%, 쑥4%, 다래나무(어린순,줄기)4%, 셍강나무(어린잎)4%, 달래2%,  , 비타민 혼합제제분말(가루, 과립)(멀티비타민믹스(비타민C 65.1363%,혼합제제비타민E 13%, 나이아신 8.46%,분말비타민A 4.75%,판토텐산칼슘 3.58%,혼합제제비타민D3 1.3%,비타민B6염산염 1.24%,비타민B1 , 기타가공식품분말(가루, 과립)( BCAA[L-이소로이신 33.3%, L-로이신 33.3%, L-발린 33.4%]), 프락토올리고당용액(액), 아가베시럽용액(액), 폴리덱스트로스분말(가루, 과립), 구연산분말(가루, 과립), 솔잎농축액(농축물)(고형분 64 % 이상), 정제수"
티이아이-디천(TEI-D1000),"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
특이체질, 알레르기체질인 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인하신 후 섭취하십시오.
(가) 고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","비타민 D3(고시형), 캡슐류, 결정셀룰로스, 덱스트린, 마그네슘(고시형)"
Atomy Probiotics 10+(캐나다수출용),#NAME?,"유산균혼합분말, Lactobacillus acidophilus, Lactobacillus helveticus, Bifidobacteriumlongum(고시형), 감귤류껍질추출물분말, 감초추출물분말, 푸룬추출분말, 생강추출분말, 사과과즙분말, 바나나농축분말, 라즈베리농축분말, 딸기추출물분말, 유당혼합분말(가루, 과립)(유당95%, 덱스트린5%, 계100%), 난소화성말토덱스트린, 자일리톨, 오렌지분말(가루, 과립), 프락토올리고당, 결정(분말)포도당, 레몬농축액(농축물)분말, 오렌지향분말(가루, 과립)(천연오렌지오일4.52%, 덱스트린31.13%, 유당12.06%, 펙틴0.39%, 천연오렌지쥬스51.9%, 계100%), Lactobacillus acidophilus, 갈락토올리고당, 김치유산균추출물(추출액)분말(분말 추출물)(Lactobacillus plantarum 10%, 말토덱스트린 82.8%, 혼합탈지분유 (탈지분유 85%, 유청분말 15%) 4%, 자당 1.8%, 유당 (유당 95%, 덱스트린 5%) 1.2%, 알긴산나트륨 , DL-사과산, 프로테아제(식물성)"
튼튼닷컴 칼슘2마그네슘1비타민D,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
동봉된 방습제는 절대 섭취하지 마십시오.
고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","마그네슘(고시형), 비타민 D3(고시형), 황산망간(고시형), 산화아연(고시형), 산화마그네슘(고시형), 칼슘(고시형), 참당귀추출분말, 초유단백, 이산화티타늄, 이산화규소, 히드록시프로필메틸셀룰로스, 카복시메틸셀룰로스칼슘, 결정셀룰로스, 혼합유당, 대두추출물분말, 글리세린지방산에스테르혼합제제용액"
혼합유산균 12종 NR(엔알),"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의","Lactobacillus plantarum(3.0 X 10^11cfu/g 이상 원료 사용), Enterococcus faecium(1.0 X 10^11cfu/g 이상 원료 사용), Bifidobacterium animalis ssp. lactis(3.0 X 10^11cfu/g 이상 원료 사용), Lactobacillus casei(2.0 X 10^11cfu/g 이상 원료 사용), Enterococcus faecalis(2.0 X 10^11cfu/g 이상 원료 사용), Streptococcus thermophilus(1.0 X 10^11cfu/g 이상 원료 사용), Lactobacillus paracasei(1.0 X 10^11cfu/g 이상 원료 사용), Bifidobacterium longum(5.0 X 10^10cfu/g 이상 원료 사용), Bifidobacterium breve(5.0 X 10^10cfu/g 이상 원료 사용), Lactobacillus fermentum(1.0 X 10^11cfu/g 이상 원료 사용), Lactococcus lactis(1.0 X 10^11cfu/g 이상 원료 사용), Bifidobacterium infantis(5.0 X 10^10cfu/g 이상 원료 사용)"
혼합유산균12종디에스(DS),"① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","유산균혼합분말, 식물성크림혼합분말, 덱스트린"
버퍼드 비타민 C 1000,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
제조 과정 중에 모서리 긁힘 현상이 발생할 수 있으나 품질에는 이상이 없으니 안심하고 섭취 가능합니다.","L-아스코브산칼슘(고시형), 글리세린지방산에스테르혼합제제용액, 이산화티타늄, 스테아린산마그네슘(고시형), 히드록시프로필메틸셀룰로스, 혼합유당, 칼슘(고시형)"
키즈멀티비타민19종,"① 임산부와 수유부는 섭취를 피하는 것이 좋습니다.
② 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취하십시오.
③ 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의하시기 바랍니다.","엽산, 요오드칼륨, 건조효모(III), 비타민 B6 염산염, 비타민 B2, 산화마그네슘, 비타민 C, 건조효모(I), 비타민 E 혼합제제분말(가루, 과립)(DL-알파토코페릴아세테이트 50%, 변성전분 24.5%, 말토덱스트린 24.5%, 이산화규소 1.0%), 피로인산제이철, 니코틴산아미드, 건조효모(II), 비타민 A 혼합제제분말(가루, 과립)(레티닐아세트산염 11.5%, 말토덱스트린 47%, 옥수수전분 20%, 아라비아검 20%, DL-알파토코페롤 1.5%), 산화아연, 황산망간, 판토텐산칼슘, 베타카로틴분말(가루, 과립)(베타카로틴 10%, 변성전분 62%, 포도당시럽 20%, 코코넛유 4%, DL-알파토코페롤 2%, 제삼인산칼슘 0.5%, 정제수 1.5%), 비타민 D3 혼합제제분말(가루, 과립)(비타민D3 0.25%, 아라비아검 38%, 수크로오스 38%, 옥수수전분 15.55%, 정제가공유지 7.5%, 이산화규소 0.5%, DL-알파토코페롤 0.2%), 비타민 B1질산염, 결정과당, 히드록시프로필메틸셀룰로오스, 효소처리스테비아, 유당혼합(유당 95%, 덱스트린 5%), 식물성크림분말(가루, 과립)(물엿 60.639%, 야자경화유 34.0%, 카제인나트륨 2.3%, 제이인산칼륨 2.1%, 글리세린지방산에스테르 0.6%, 이산화규소 0.3%, 정제염 0.03%, 메타인산나트륨 0.02%, 피로인산나, 파인애플 과즙분말(가루, 과립)(파인애플과즙고형분 30%, 덱스트린 70%), 자일리톨, 결정셀룰로오스, 사과 과즙(사과과즙고형분 40%, 덱스트린 60%), 요구르트분말(가루, 과립)(달콤새콤베이스 70.0%, 분말유크림 11.42%, 과당분말 4.85%, 정백당 4.43%, 미립당 3.35%, 유청분말 2.4%, 오토이스트분말 1.5%, 감초시즈닝분말 0.8%, 정제염 0.75%, 제삼인산칼 , 파인애플향(혼합제제)(파인애플향키베이스I(에틸아세테이트 7.5%, 에틸부티레이트 13.5%, 에틸헥사노에이트 2.2%, 에틸2-메틸부티레이트 2.2%, 알릴헥사노에이트 6.9%, 디에틸말로네이트 1.6%, 이  , 시클로덱스트린(베타), 이산화규소, 스테아린산마그네슘, 구연산, 덱스트린 혼합(제제)(덱스트린 93.76%, 사탕수수추출물 2.55%, 당밀추출물 1.76%, 4.5-디메틸-3-히드록시-2,5-디히드로퓨란-2-온 1.02%, 글리세린 0.91%), 글리세린지방산에스테르"
홍삼농축액분말11,건강기능식품의 원료 식품으로 판매,홍삼농축액(농축물)
MR-10 유스포맨,"- 카페인 함유음료(커피, 홍차, 녹차 등)와의 병용 섭취에 주의.
- 임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의.
- 특정 성분에 알레르기가 있으신 분은 원료명을 확인 후 섭취.
- 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있으니 주의.","테아닌, 비타민 C(L-Ascorbic acid), 니코틴산아미드, 산화아연, 비타민 D3 혼합제제분말(가루, 과립)(비타민D3 0.25%, 아라비아검 38%, 수크로오스 38%, 옥수수전분 15.55%, 정제가공유지 7.5%, 이산화규소 0.5%, DL-알파토코페롤 0.2%), 비타민 B6 염산염, 비타민 B2, MR-10 민들레등복합추출물(Luteolin 0.06mg/g, Isoorientin 0.18mg/g, 제2013-31호), 피브로인추출물BF-7, 옥타코사놀 함유 유지(옥타코사놀 12%), 굴(전체)추출물(추출액)분말(분말 추출물), 과라나추출물(추출액)분말(분말 추출물)(과라나추출물 80%, 말토덱스트린 20%), 타우린, 버드나무(가지껍질)추출물(추출액)분말(분말 추출물), 은행잎추출물분말(가루, 과립)(플라보놀배당체 24%), 결정셀룰로오스, 유당혼합(유당 95%, 덱스트린 5%), 옥수수 전분, 카르복시메틸스타치나트륨, 히드록시프로필메틸셀룰로오스, 시클로덱스트린(베타), 카카오색소(카카오색소 67%, 덱스트린 33%), 카르복시메틸셀룰로오스칼슘, 이산화규소, 스테아린산마그네슘, 비수리(어린 잎)추출물(추출액)분말(분말 추출물)(비수리추출고형분 20%, 덱스트린 80%), 녹용추출물(추출액)분말(분말 추출물)(녹용추출고형분 10%, 덱스트린 90%), 마카추출물(추출액)분말(분말 추출물)(마카추출물 45%, 말토덱스트린 55%), L-아르기닌, 아미노산혼합(아미노믹스)(제제)(BCAA(L-이소로이신, L-로이신 L-발린) 48.19%, L-아르기닌 16.06%, L-글루타민 13.25%, L-라이신염산염 8.84%, L-히스티딘 7.23%, L-글루탐산 4.02%, L-트립토판 2.41%), 홍삼농축액(농축물)분말(진세노사이드Rg1, Rb1 및 Rg3의 합 1.5%), 글리세린지방산에스테르"
튼튼닷컴 엽산1000철분비타민D,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다.
고칼슘혈증이 있거나 의약품 복용 시 전문가와 상담할 것
이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
특히 6세 이하는 과량섭취하지 않도록 주의
동봉된 방습제는 절대 섭취하지 마십시오.","비타민 B12(고시형), 엽산(고시형), 푸마르산제일철(고시형), 비타민 D3(고시형), 산화아연(고시형), 결정셀룰로스, 덱스트린, 카복시메틸셀룰로스칼슘, 히드록시프로필메틸셀룰로스, 스테아린산마그네슘(고시형), 이산화티타늄, 글리세린지방산에스테르혼합제제용액, 카카오색소"
코엔자임큐텐맥스100mg,"① 어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.
② 특이체질, 알레르기 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.","유성 비타민A 지방산에스테르, 비타민 D3유지(Oil), 코엔자임 Q10, 비타민 C, 건조효모, D-α-토코페롤, 산화아연, 비타민 B6 염산염, 비타민 B1염산염, 비타민 B2, 젤라틴, 정제수, 글리세린, 치자황색소, 이산화티타늄, 식용색소적색제40호, 대두유, 포도씨유 , 밀납, 대두레시틴, 토마토추출물(추출액)분말(분말 추출물)"
