output,input,instruction
"Nadofaragene firadenovec-vncg is used to treat a certain type of bladder cancer that was not effectively treated with another medication (Bacillus Calmette-Guerin; BCG therapy). Nadofaragene firadenovec-vncg is in a class of medications called gene therapy. It works by helping your body to produce interferon alfa-2b, a natural substance that fights cancer cells in your bladder.",Nadofaragene firadenovec-vncg Intravesical,Why is Nadofaragene firadenovec-vncg Intravesical medication prescribed?
"Nadofaragene firadenovec-vncg comes as a suspension (liquid) to be infused (injected slowly) through a catheter (small flexible plastic tube) into your bladder while you are lying down. Nadofaragene firadenovec-vncg solution is given by a doctor or a health care provider in a medical office, hospital, or clinic. It is usually given once every 3 months.You should keep the medication in your bladder for 1 hour or as long as possible. During the hour after the medication is infused, you will lie on your stomach, back, and sides for 15 minutes each. If you cannot keep the medication in your bladder for the entire hour, tell your health care provider. At the end of 1 hour you will empty your bladder.Your urine should be disinfected for 2 days after the medication is administered. Pour about one half cup (120 mL) of undiluted bleach in the toilet before you urinate. After urinating, wait 15 minutes before flushing.You may have symptoms of an irritable bladder during or shortly after treatment with nadofaragene firadenovec-vncg suspension such as a sudden need to urinate or leaking of urine. Tell your doctor if you have bladder cramping or if any nadofaragene firadenovec-vncg suspension leaks out of the bladder.Your doctor will watch you carefully to see how well treatment with nadofaragene firadenovec-vncg works for you. If you do not respond fully to treatment after 3 months or if your cancer returns, your doctor will probably recommend treatment with surgery.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Nadofaragene firadenovec-vncg Intravesical,How should Nadofaragene firadenovec-vncg Intravesical medicine be used?
"Before receiving nadofaragene firadenovec-vncg,tell your doctor and pharmacist if you are allergic to nadofaragene firadenovec-vncg, interferon alfa-2b, any other medications, or any of the ingredients in nadofaragene firadenovec-vncg. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you are immunocompromised (have a weakened immune system) due to a medical condition or being on certain medicines that may interfere with your immune response or if you have or have ever had any other medical conditions.tell your doctor if you are pregnant, plan to become pregnant, or if you plan to father a child. If you are female, you will need to take a pregnancy test before starting treatment and use effective birth control to prevent a pregnancy during your treatment and for 6 months after your final dose. If you are male, you and your female partner should use effective birth control while you are receiving nadofaragene firadenovec-vncg and for 3 months after the final dose. Talk to your doctor about using birth control to prevent pregnancy during your treatment with nadofaragene firadenovec-vncg. If you or your partner become pregnant while receiving nadofaragene firadenovec-vncg, call your doctor.",Nadofaragene firadenovec-vncg Intravesical,What special precautions should I follow for Nadofaragene firadenovec-vncg Intravesical ?
"Nadolol is used alone or in combination with other medications to treat high blood pressure. It is also used to prevent angina (chest pain). Nadolol is in a class of medications called beta blockers. It works by relaxing blood vessels and slowing heart rate to improve blood flow and decrease blood pressure.High blood pressure is a common condition and when not treated, can cause damage to the brain, heart, blood vessels, kidneys, and other parts of the body. Damage to these organs may cause heart disease, a heart attack, heart failure, stroke, kidney failure, loss of vision, and other problems. In addition to taking medication, making lifestyle changes will also help to control your blood pressure. These changes include eating a diet that is low in fat and salt, maintaining a healthy weight, exercising at least 30 minutes most days, not smoking, and using alcohol in moderation.",Nadolol,Why is Nadolol medication prescribed?
"Nadolol comes as a tablet to take by mouth. It is usually taken once a day with or without food. To help you remember to take nadolol, take it around the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take nadolol exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Your doctor may start you on a low dose of nadolol and gradually increase your dose to allow your body to adjust to the medication. Talk to your doctor about how you feel and about any symptoms you experience during this time.Nadolol controls your condition but does not cure it. Continue to take nadolol even if you feel well. Do not stop taking nadolol without talking to your doctor. If you suddenly stop taking nadolol, you may experience serious heart problems such as angina (chest pain), heart attack, or an irregular heartbeat. Your doctor will probably want to decrease your dose gradually over 1 to 2 weeks. Your doctor will watch you carefully and will probably tell you to avoid physical activity during this time.",Nadolol,How should Nadolol medicine be used?
"Before taking nadolol,tell your doctor and pharmacist if you are allergic to nadolol, any other medications, or any ingredients in nadolol tablets. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking while taking nadalol. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have asthma or other lung diseases, a slow or irregular heartbeat, or heart failure. Your doctor may tell you not to take nadolol.tell your doctor if you have or have ever had heart or kidney disease, diabetes, pheochromocytoma (a tumor that develops on a gland near the kidneys and may cause high blood pressure and fast heartbeat), or hyperthyroidism (an overactive thyroid gland). Also tell your doctor if you have ever had a serious allergic reaction to a food or any other substance.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while taking nadolol, call your doctor.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking nadolol.you should know that nadolol may increase the risk of hypoglycemia (low blood sugar) and prevent the warning signs and symptoms that would tell you that your blood sugar is low. Let your doctor know if you are unable to eat or drink normally or are vomiting while you are taking nadolol. You should know the symptoms of low blood sugar and what to do if you have these symptoms.you should know that if you have allergic reactions to different substances, your reactions may be worse while you are taking nadolol, and your allergic reactions may not respond to the usual doses of injectable epinephrine.you should know that if you have allergic reactions to different substances, your reactions may be worse while you are taking nadolol, and your allergic reactions may not respond to the usual doses of injectable epinephrine.",Nadolol,What special precautions should I follow for Nadolol ?
"Obeticholic acid is used alone or in combination with ursodiol (Actigall, Urso) to treat primary biliary cholangitis (PBC; a type of liver disease that destroys bile ducts, which allows bile to stay in the liver and cause damage) in people who cannot take ursodiol or in people who were not treated successfully with ursodiol alone. Obeticholic acid is in a class of medications called farnesoid X receptor agonists. It works by decreasing the production of bile in the liver and increasing the removal of bile from the liver.",Obeticholic Acid,Why is Obeticholic Acid medication prescribed?
"Obeticholic acid comes as a tablet to take by mouth. It is taken usually once a day with or without food. Take obeticholic acid at around the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take obeticholic acid exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Your doctor may need to temporarily or permanently stop your treatment or decrease your dose of obeticholic acid during your treatment. This will depend on how well the medication works for you or if you experience certain side effects. Continue to take obeticholic acid even if you feel well. Do not stop taking obeticholic acid without talking to your doctor.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Obeticholic Acid,How should Obeticholic Acid medicine be used?
"Before taking obeticholic acid,tell your doctor and pharmacist if you are allergic to obeticholic acid, any other medications, or any of the ingredients in obeticholic acid tablets. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: caffeine (found in certain medications to treat drowsiness and headaches), cyclosporine (Gengraf, Neoral, Sandimmune), theophylline (Elixophyllin, Theo-24, Theochron), rosuvastatin (Crestor, in Ezallor Sprinkle, in Roszet), tizanidine (Zanaflex), or warfarin (Jantoven). Your doctor may need to change the doses of your medications or monitor you carefully for side effects. Many other medications may also interact with obeticholic acid, so be sure to tell your doctor about all the medications you are taking, even those that do not appear on this list.if you are taking cholestyramine (Prevalite), colestipol (Colestid), or colesevelam (Welchol), take them at least 4 hours before or 4 hours after obeticholic acid.tell your doctor if you have bile duct obstruction (blockage in the tubes that carry bile from the liver to the gallbladder and small intestine). Your doctor may tell you not to take obeticholic acid.tell your doctor if you have ever drunk large amounts of alcohol, or if you have or have ever had high cholesterol or thyroid disease.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. If you become pregnant while taking obeticholic acid, call your doctor.",Obeticholic Acid,What special precautions should I follow for Obeticholic Acid ?
Obinutuzumab injection is used alone or in combination with other medication(s) to treat chronic lymphocytic leukemia (CLL; a type of cancer of the white blood cells) and to treat follicular non-Hodgkin's lymphoma (NHL; a slow-growing blood cancer). Obinutuzumab injection is in a class of medications called monoclonal antibodies. It works by killing cancer cells.Your doctor will review your specific type of cancer and past treatment history and other available treatments to determine if obinutuzumab is right for you.,Obinutuzumab Injection,Why is Obinutuzumab Injection medication prescribed?
"Obinutuzumab injection comes as a solution (liquid) to be added to fluid and slowly injected intravenously (into a vein) by a doctor or nurse in a medical office or hospital. Your doctor will select a schedule to give you obinutuzumab injection along with other medications that is best to treat your condition.Your doctor may need to interrupt or stop your treatment if you experience certain side effects. Your doctor will give you other medications to prevent or treat certain side effects before you receive each dose of obinutuzumab injection. Tell your doctor or nurse if you experience any of the following during or within 24 hours after you receive obinutuzumab: dizziness, lightheadedness, fainting, fast heartbeat, chest pain, difficulty breathing, swelling of the throat, nausea, vomiting, fatigue, diarrhea, sudden reddening of the face, neck, or upper chest, rash, headache, chills, and fever.Be sure to tell your doctor how you are feeling during your treatment with obinutuzumab injection.",Obinutuzumab Injection,How should Obinutuzumab Injection medicine be used?
"Before receiving obinutuzumab injection,tell your doctor and pharmacist if you are allergic to obinutuzumab, any other medications, or any of the ingredients in obinutuzumab injection. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any medications for high blood pressure. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have or have ever had heart, lung, kidney, or liver disease. Also tell your doctor if you have any type of infection now or if you have or have ever had an infection that would not go away or an infection that comes and goes.tell your doctor if you are pregnant or plan to become pregnant. You should use effective birth control to prevent pregnancy during your treatment with obinutuzumab injection and for 6 months after your final dose. Talk to your doctor about birth control methods that will work for you. If you become pregnant while receiving obinutuzumab injection, call your doctor.tell your doctor if you are breastfeeding. You should not breastfeed while you are receiving obinutuzumab and for 6 months after your final treatment dose.if you are having surgery, including dental surgery, tell the doctor or dentist that you are receiving obinutuzumab injection.do not have any vaccinations without talking to your doctor.",Obinutuzumab Injection,What special precautions should I follow for Obinutuzumab Injection ?
"Oral contraceptives (birth-control pills) are used to prevent pregnancy. Estrogen and progestin are two female sex hormones. Combinations of estrogen and progestin work by preventing ovulation (the release of eggs from the ovaries). They also change the lining of the uterus (womb) to prevent pregnancy from developing and change the mucus at the cervix (opening of the uterus) to prevent sperm (male reproductive cells) from entering. Oral contraceptives are a very effective method of birth control, but they do not prevent the spread of human immunodeficiency virus (HIV, the virus that causes acquired immunodeficiency syndrome [AIDS]) and other sexually transmitted diseases.Some brands of oral contraceptives are also used to treat acne in certain patients. Oral contraceptives treat acne by decreasing the amounts of certain natural substances that can cause acne.Some oral contraceptives (Beyaz, Yaz) are also used to relieve the symptoms of premenstrual dysphoric disorder (physical and emotional symptoms that occur before the menstrual period each month) in women who have chosen to use an oral contraceptive to prevent pregnancy.",Estrogen and Progestin (Oral Contraceptives),Why is Estrogen and Progestin (Oral Contraceptives) medication prescribed?
"Oral contraceptives come in packets of 21, 28, or 91 tablets to take by mouth once a day, every day or almost every day of a regular cycle. To avoid nausea, take oral contraceptives with food or milk. Take your oral contraceptive at the same time every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take your oral contraceptive exactly as directed. Do not take more or less of it, take it more often, or take it for a longer time than prescribed by your doctor.Oral contraceptives come in many different brands. Different brands of oral contraceptives contain slightly different medications or doses, are taken in slightly different ways, and have different risks and benefits. Be sure that you know which brand of oral contraceptives you are using and exactly how you should use it. Ask your doctor or pharmacist for a copy of the manufacturer's information for the patient and read it carefully.If you have a 21-tablet packet, take 1 tablet daily for 21 days and then none for 7 days. Then start a new packet.If you have a 28-tablet packet, take 1 tablet daily for 28 days in a row in the order specified in your packet. Start a new packet the day after you take your 28th tablet. The tablets in most 28-tablet packets may have different colors. Many 28-tablet packets have certain color tablets that contain different amounts of estrogen and progestin, but also may have other color tablets which contain an inactive ingredient or a folate supplement.If you have a 91-day tablet packet, take 1 tablet daily for 91 days. Your packet will contain three trays of tablets. Start with the first tablet on the first tray and continue taking 1 tablet every day in the order specified on the packet until you have taken all of the tablets on all of the trays. The last set of tablets are a different color. These tablets may contain an inactive ingredient, or they may contain a very low dose of estrogen. Start your new packet the day after you take your 91st tablet.Your doctor will tell you when you should start taking your oral contraceptive. Oral contraceptives are usually started on the first or fifth day of your menstrual period or on the first Sunday after or on which bleeding begins. Your doctor will also tell you whether you need to use another method of birth control during the first 7 to 9 days that you take your oral contraceptive and will help you choose a method. Follow these directions carefully.You will probably experience withdrawal bleeding similar to a menstrual period while you are taking the inactive tablets or the low dose estrogen tablets or during the week that you do not take your oral contraceptive. If you are taking the type of packet that only contains active tablets, you will not experience any scheduled bleeding, but you may experience unexpected bleeding and spotting, especially at the beginning of your treatment. Be sure to start taking your new packet on schedule even if you are still bleeding.You may need to use a backup method of birth control if you vomit or have diarrhea while you are taking an oral contraceptive. Talk to your doctor about this before you begin to take your oral contraceptive so that you can prepare a backup method of birth control in case it is needed. If you vomit or have diarrhea while you are taking an oral contraceptive, call your doctor to find out how long you should use the backup method.If you have recently given birth, wait until 4 weeks after delivery to begin taking oral contraceptives. If you have had an abortion or miscarriage, talk to your doctor about when you should begin taking oral contraceptives.Oral contraceptives will work only as long as they are taken regularly. Continue to take oral contraceptives every day even if you are spotting or bleeding, have an upset stomach, or do not think that you are likely to become pregnant. Do not stop taking oral contraceptives without talking to your doctor.",Estrogen and Progestin (Oral Contraceptives),How should Estrogen and Progestin (Oral Contraceptives) medicine be used?
"Before taking oral contraceptives,tell your doctor and pharmacist if you are allergic to estrogen, progestin, or any other medications.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, and nutritional supplements you are taking. Be sure to mention any of the following: acetaminophen (APAP, Tylenol); antibiotics such as ampicillin (Principen), clarithromycin (Biaxin),erythromycin (E.E.S., E-Mycin, Erythrocin), isoniazid (INH, Nydrazid), metronidazole (Flagyl),minocycline (Dynacin, Minocin), rifabutin (Mycobutin), rifampin (Rifadin, Rimactane), tetracycline (Sumycin), and troleandomycin (TAO) (not available in the U.S.); anticoagulants ('blood thinners') such as warfarin (Coumadin); antifungals such as griseofulvin (Fulvicin, Grifulvin, Grisactin), fluconazole (Diflucan), itraconazole (Sporanox), and ketoconazole (Nizoral); atorvastatin (Lipitor); clofibrate (Atromid-S); cyclosporine (Neoral, Sandimmune); bosentan (Tracleer); cimetidine (Tagamet); danazol (Danocrine); delavirdine (Rescriptor); diltiazem (Cardizem, Dilacor, Tiazac); fluoxetine (Prozac, Sarafem, in Symbyax); HIV protease inhibitors such as indinavir (Crixivan) and ritonavir (Norvir); medications for seizures such as carbamazepine (Tegretol), felbamate (Felbatol), lamotrigine (Lamictal), oxcarbazepine (Trileptal), phenobarbital (Luminal, Solfoton), phenytoin (Dilantin), primidone (Mysoline), and topiramate (Topamax); modafinil (Provigil); morphine (Kadian, MS Contin, MSIR, others); nefazodone; rifampin (Rimactane, in Rifadin, in Rifater); oral steroids such as dexamethasone (Decadron, Dexone), methylprednisolone (Medrol), prednisone (Deltasone), and prednisolone (Prelone); temazepam (Restoril); theophylline (Theobid, Theo-Dur); thyroid medication such as levothyroxine (Levothroid, Levoxyl, Synthroid); verapamil (Calan, Covera, Isoptin, Verelan); vitamin C; and zafirlukast (Accolate). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.if you are taking oral contraceptives that contain drosperinone (Beyaz, Gianvi, Loryna, Ocella, Safyral, Syeda, Yasmin, Yaz, and Zarah) tell your doctor and pharmacist if you are taking any of the medications listed above or any of the following: angiotensin-converting enzyme (ACE) inhibitors such as benazepril (Lotensin), enalapril (Vasotec), and lisinopril (Prinivil, Zestril); angiotensin II antagonists such as irbesartan (Avapro), losartan (Cozaar), and valsartan (Diovan); aspirin and other nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); diuretics ('water pills') such as amiloride (Midamor), spironolactone (Aldactone), and triamterene (Dyrenium); eplerenone (Inspra); heparin; or potassium supplements. Before taking Beyaz or Safyral, also tell your doctor or pharmacist if you are taking cholestyramine (Locholest, Prevalite, Questran), a folate supplement, methotrexate (Trexall), pyrimethamine (Daraprim), sulfasalazine (Azulfidine), or valproic acid (Depakene, Stavzor).tell your doctor what herbal products you are taking, especially St. John's wort.tell your doctor if you have or have ever had blood clots in your legs, lungs, or eyes; thrombophilia (condition in which the blood clots easily); coronary artery disease (clogged blood vessels leading to the heart); cerebrovascular disease (clogging or weakening of the blood vessels within the brain or leading to the brain); stroke or mini-stroke; an irregular heartbeat; heart disease; a heart attack; chest pain; diabetes that has affected your circulation; headaches that come along with other symptoms such as vision changes, weakness, and dizziness; high blood pressure; breast cancer; cancer of the lining of the uterus, cervix, or vagina; liver cancer, liver tumors, or other types of liver disease; yellowing of the skin or eyes during pregnancy or while you were using hormonal contraceptives (birth control pills, patches, rings, implants, or injections); unexplained abnormal vaginal bleeding; adrenal insufficiency (condition in which the body does not produce enough of certain natural substances needed for important functions such as blood pressure); or kidney disease. Also tell your doctor if you have recently had surgery or have been unable to move around for any reason. Your doctor may tell you that you should not take certain types of oral contraceptives or that you should not take any type of oral contraceptive if you have or have had any of these conditions.Also tell your doctor if anyone in your family has had breast cancer, if you are overweight, and if you have or have ever had problems with your breasts such as lumps, an abnormal mammogram (breast x-ray), or fibrocystic breast disease (swollen, tender breasts and/or breast lumps that are not cancer); high blood cholesterol or fats; diabetes; asthma; toxemia (high blood pressure during pregnancy); heart attack; chest pain; seizures; migraine headaches; depression; gallbladder disease; jaundice (yellowing of the skin or eyes); and excessive weight gain and fluid retention (bloating) during the menstrual cycle.do not take oral contraceptives if you are pregnant, plan to become pregnant, or are breast-feeding. If you become pregnant while taking oral contraceptives, call your doctor immediately.if you miss periods while you are taking oral contraceptives, you may be pregnant. If you are using a 91-tablet packet and you miss one period, call your doctor. If you are using another type of packet according to the directions and you miss one period, you may continue to take your tablets. However, if you have not taken your tablets as directed and you miss one period or if you have taken your tablets as directed and you miss two periods, call your doctor and use another method of birth control until you have a pregnancy test. If you are using a 28-tablet packet that contains only active tablets, you will not expect to have periods on a regular basis, so it may be hard to tell if you are pregnant. If you are using this type of oral contraceptive, call your doctor and have a pregnancy test if you experience symptoms of pregnancy such as nausea, vomiting, and breast tenderness, or if you suspect you may be pregnant.if you are having surgery, including dental surgery, tell the doctor or dentist that you are taking oral contraceptives.you should know that oral contraceptives may cause a spotty darkening of the skin, especially on the face. If you have experienced changes in your skin color during pregnancy or while you were taking oral contraceptives in the past, you should avoid exposure to real or artificial sunlight while you are taking oral contraceptives. Wear protective clothing, sunglasses, and sunscreen.tell your doctor and pharmacist if you wear contact lenses. If you notice changes in vision or ability to wear your lenses while taking oral contraceptives, see an eye doctor.",Estrogen and Progestin (Oral Contraceptives),What special precautions should I follow for Estrogen and Progestin (Oral Contraceptives) ?
"Ocrelizumab injection is used to treat adults with various forms of multiple sclerosis (MS; a disease in which the nerves do not function properly and people may experience weakness, numbness, loss of muscle coordination, and problems with vision, speech, and bladder control) including primary-progressive forms (symptoms gradually become worse over time), clinically isolated syndrome (CIS; nerve symptom episodes that last at least 24 hours), relapsing-remitting forms (course of disease where symptoms flare up from time to time), or secondary progressive forms (course of disease where relapses occur more often). Ocrelizumab in a class of medications called monoclonal antibodies. It works by stopping certain cells of the immune system from causing damage.",Ocrelizumab Injection,Why is Ocrelizumab Injection medication prescribed?
"Ocrelizumab injection comes as a solution (liquid) to be injected intravenously (into a vein) by a doctor or nurse. It is usually injected slowly over a period of at least 2½ hours once every 2 weeks for the first two doses (at week 0 and week 2), and then infusions are given slowly over a period of about 2 to 3½ hours once every 6 months.Ocrelizumab injection may cause serious reactions during an infusion and up to a day after receiving the infusion. You may be given other medications to treat or help prevent reactions to ocrelizumab. A doctor or nurse will watch you closely while receiving the infusion and for at least 1 hour afterwards to provide treatment in case of certain side effects to the medication. Your doctor may temporarily or permanently stop your treatment or decrease the dose, if you experience certain side effects. Tell your doctor or nurse if you experience any of the following during or within 24 hours after your infusion: rash; itching; hives; redness at the injection site; difficulty breathing or swallowing; cough; wheezing; feeling faint; throat irritation; mouth or throat pain; shortness of breath; swelling of the face, eyes, mouth, throat, tongue, or lips; flushing; fever; fatigue; tiredness; headache; dizziness; nausea; or a racing heartbeat. Call your doctor immediately or get immediate emergency medical attention if you experience any of these symptoms after you leave your doctor's office or medical facility.Ocrelizumab may help to control multiple sclerosis symptoms but does not cure them. Your doctor will watch you carefully to see how well ocrelizumab works for you. It is important to tell your doctor how you are feeling during your treatment.Your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with ocrelizumab injection and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (https://www.fda.gov/Drugs/DrugSafety/ucm085729.htm)or the manufacturer's website to obtain the Medication Guide.",Ocrelizumab Injection,How should Ocrelizumab Injection medicine be used?
"Before receiving ocrelizumab injection,tell your doctor and pharmacist if you are allergic to ocrelizumab, any other medications, or any of the ingredients in ocrelizumab injection. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take while taking ocrelizumab. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have or have ever had hepatitis B (HBV; a virus that infects the liver and may cause severe liver damage or liver cancer). Your doctor will probably tell you not to receive ocrelizumab.tell your doctor if you have any type of infection before you begin your treatment with ocrelizumab injection. Also tell your doctor if you have or have ever had inflammatory bowel disease (IBD; a group of conditions that cause swelling of the lining of the intestines) such as Crohn's disease (a condition in which the body attacks the lining of the digestive tract, causing pain, diarrhea, weight loss, and fever) or ulcerative colitis (a condition which causes swelling and sores in the lining of the colon [large intestine] and rectum).tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. Use effective birth control during your treatment with ocrelizumab and for 6 months after the final dose. If you become pregnant while receiving ocrelizumab, call your doctor. If you receive ocrelizumab injection during your pregnancy, be sure to talk to your baby's doctor about this after your baby is born. Your baby may need to delay receiving certain vaccines.tell your doctor if you have had a recent vaccination or are scheduled to receive any vaccinations. You may need to receive certain types of vaccines at least 4 weeks before and others at least 2 weeks before you start treatment with ocrelizumab injection. Do not have any vaccinations without talking to your doctor during your treatment.",Ocrelizumab Injection,What special precautions should I follow for Ocrelizumab Injection ?
"Octreotide is used to treat acromegaly (condition in which the body produces too much growth hormone, causing enlargement of the hands, feet, and facial features; joint pain; and other symptoms) in people who have been treated successfully with octreotide injection (Sandostatin) or lanreotide injection (Somatuline). Octreotide is in a class of medications called octapeptides. It works by decreasing the amounts of certain natural substances produced by the body.",Octreotide,Why is Octreotide medication prescribed?
"Octreotide comes as a capsule to take by mouth. It is usually taken twice daily on an empty stomach, at least 1 hour before or 2 hours after a meal, with a glass of water. Take octreotide at around the same times every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take octreotide exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Swallow the capsules whole; do not split, chew, or crush them.Gently push the capsules from the packaging to remove them. Do not use two thumbs to push a capsule or press the middle of the capsule through the packaging as it could damage the capsule. If the capsules are cracked or broken, discard them.Octreotide may control your symptoms, but it will not cure your condition. Do not stop taking octreotide without talking to your doctor. If you stop taking octreotide, your symptoms may return.Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",Octreotide,How should Octreotide medicine be used?
"Before taking octreotide,tell your doctor and pharmacist if you are allergic to octreotide, any other medications, or any of the ingredients in octreotide delayed-release capsules. Ask your pharmacist for a list of the ingredients.tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antacids such as aluminum hydroxide/magnesium hydroxide (Maalox), calcium carbonate (Tums) or calcium carbonate and magnesium (Rolaids); beta blockers such as atenolol (Tenormin), labetalol (Normodyne), metoprolol (Lopressor, Toprol XL), nadolol (Corgard), and propranolol (Inderal); bromocriptine (Cycloset, Parlodel); calcium channel blockers such as amlodipine (Norvasc), diltiazem (Cardizem, Dilacor, Tiazac, others), felodipine (Plendil), nifedipine (Adalat, Procardia), nisoldipine (Sular), and verapamil (Calan, Isoptin, Verelan); cyclosporine (Gengraf, Neoral, Sandimmune); digoxin (Lanoxin), H2 blockers such as cimetidine (Tagamet), famotidine (Pepcid), nizatidine (Axid), and ranitidine (Zantac); insulin and oral medications for diabetes; levonorgestrel (Mirena, Skyla); lisinopril (Qbrelis, Zestril); proton-pump inhibitors such as lansoprazole (Prevacid), omeprazole (Prilosec), and pantoprazole (Protonix); and quinidine (in Nuedexta). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.tell your doctor if you have or have ever had low levels of vitamin B-12 in your body, high or low blood sugar, diabetes, or thyroid, heart, kidney, or liver disease.tell your doctor if you are pregnant, plan to become pregnant, or are breastfeeding. You may be able to become pregnant during your treatment with octreotide even if you were not able to become pregnant before your treatment because you have acromegaly. Talk to your doctor about methods of birth control that will work for you. If you become pregnant while taking octreotide, call your doctor.",Octreotide,What special precautions should I follow for Octreotide ?
"Amoxicillin is used to treat certain infections caused by bacteria, such as pneumonia; bronchitis (infection of the airway tubes leading to the lungs); and infections of the ears, nose, throat, urinary tract, and skin. It is also used in combination with other medications to eliminate H. pylori, a bacteria that causes ulcers. Amoxicillin is in a class of medications called penicillin-like antibiotics. It works by stopping the growth of bacteria.Antibiotics such as amoxicillin will not work for colds, flu, and other viral infections. Taking antibiotics when they are not needed increases your risk of getting an infection later that resists antibiotic treatment.",Amoxicillin,Why is Amoxicillin medication prescribed?
"Amoxicillin comes as a capsule, a tablet, a chewable tablet, and as a suspension (liquid) to take by mouth. It is usually taken every 12 hours (twice a day) or every 8 hours (three times a day) with or without food. The length of your treatment depends on the type of infection that you have. Take amoxicillin at around the same times every day. Follow the directions on your prescription label carefully, and ask your doctor or pharmacist to explain any part you do not understand. Take amoxicillin exactly as directed. Do not take more or less of it or take it more often than prescribed by your doctor.Shake the suspension well before each use to mix the medication evenly. The suspension may be placed directly on the child's tongue or added to formula, milk, fruit juice, water, ginger ale, or another cold liquid and taken immediately.The chewable tablets should be crushed or chewed thoroughly before they are swallowed.Swallow the tablets and capsules whole with a full glass of water; do not chew or crush them.You should begin to feel better during the first few days of treatment with amoxicillin. If your symptoms do not improve or get worse, call your doctor.Take amoxicillin until you finish the prescription, even if you feel better. If you stop taking amoxicillin too soon or skip doses, your infection may not be completely treated and the bacteria may become resistant to antibiotics.",Amoxicillin,How should Amoxicillin medicine be used?
